ndofs=   1821303: ['\\eta']=(0.874,)  | resids[ 18]=1.34e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(0.874,)  | resids[ 18]=1.34e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(0.891,)  | resids[ 18]=1.16e-08 cf=0.382
ndofs=   1821303: ['\\eta']=(0.891,)  | resids[ 18]=1.16e-08 cf=0.382
ndofs=   1821303: ['\\eta']=(0.909,)  | resids[ 18]=1.01e-08 cf=0.380
ndofs=   1821303: ['\\eta']=(0.909,)  | resids[ 18]=1.01e-08 cf=0.380
ndofs=   1821303: ['\\eta']=(0.926,)  | resids[ 17]=2.37e-08 cf=0.386
ndofs=   1821303: ['\\eta']=(0.926,)  | resids[ 17]=2.37e-08 cf=0.386
ndofs=   1821303: ['\\eta']=(0.943,)  | resids[ 17]=2.21e-08 cf=0.385
ndofs=   1821303: ['\\eta']=(0.943,)  | resids[ 17]=2.21e-08 cf=0.385
ndofs=   1821303: ['\\eta']=(0.961,)  | resids[ 17]=2.13e-08 cf=0.386
ndofs=   1821303: ['\\eta']=(0.961,)  | resids[ 17]=2.13e-08 cf=0.386
ndofs=   1821303: ['\\eta']=(0.978,)  | resids[ 17]=2.06e-08 cf=0.384
ndofs=   1821303: ['\\eta']=(0.978,)  | resids[ 17]=2.06e-08 cf=0.384
ndofs=   1821303: ['\\eta']=(0.996,)  | resids[ 17]=2.02e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(0.996,)  | resids[ 17]=2.02e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(1.013,)  | resids[ 17]=2.02e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(1.013,)  | resids[ 17]=2.02e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(1.03,)   | resids[ 17]=2.02e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(1.03,)   | resids[ 17]=2.02e-08 cf=0.383
ndofs=   1821303: ['\\eta']=(1.048,)  | resids[ 17]=2.05e-08 cf=0.382
ndofs=   1821303: ['\\eta']=(1.048,)  | resids[ 17]=2.05e-08 cf=0.382
ndofs=   1821303: ['\\eta']=(1.065,)  | resids[ 17]=2.14e-08 cf=0.380
ndofs=   1821303: ['\\eta']=(1.065,)  | resids[ 17]=2.14e-08 cf=0.380
ndofs=   1821303: ['\\eta']=(1.083,)  | resids[ 17]=2.59e-08 cf=0.386
ndofs=   1821303: ['\\eta']=(1.083,)  | resids[ 17]=2.59e-08 cf=0.386
ndofs=   1821303: ['\\eta']=(1.1,)    | resids[ 18]=1.15e-08 cf=0.384
ndofs=   1821303: ['\\eta']=(1.1,)    | resids[ 18]=1.15e-08 cf=0.384
ndofs=   1821303: ['\\eta']=(1.117,)  | resids[ 18]=1.38e-08 cf=0.387
ndofs=   1821303: ['\\eta']=(1.117,)  | resids[ 18]=1.38e-08 cf=0.387
ndofs=   1821303: ['\\eta']=(1.135,)  | resids[ 18]=1.76e-08 cf=0.392
ndofs=   1821303: ['\\eta']=(1.135,)  | resids[ 18]=1.76e-08 cf=0.392
ndofs=   1821303: ['\\eta']=(1.152,)  | resids[ 18]=2.37e-08 cf=0.402
ndofs=   1821303: ['\\eta']=(1.152,)  | resids[ 18]=2.37e-08 cf=0.402
ndofs=   1821303: ['\\eta']=(1.17,)   | resids[ 19]=1.18e-08 cf=0.404
ndofs=   1821303: ['\\eta']=(1.17,)   | resids[ 19]=1.18e-08 cf=0.404
ndofs=   1821303: ['\\eta']=(1.187,)  | resids[ 19]=1.53e-08 cf=0.410
ndofs=   1821303: ['\\eta']=(1.187,)  | resids[ 19]=1.53e-08 cf=0.410
ndofs=   1821303: ['\\eta']=(1.204,)  | resids[ 19]=1.97e-08 cf=0.416
ndofs=   1821303: ['\\eta']=(1.204,)  | resids[ 19]=1.97e-08 cf=0.416
ndofs=   1821303: ['\\eta']=(1.222,)  | resids[ 19]=2.52e-08 cf=0.422
ndofs=   1821303: ['\\eta']=(1.222,)  | resids[ 19]=2.52e-08 cf=0.422
ndofs=   1821303: ['\\eta']=(1.239,)  | resids[ 20]=1.15e-08 cf=0.405
ndofs=   1821303: ['\\eta']=(1.239,)  | resids[ 20]=1.15e-08 cf=0.405
ndofs=   1821303: ['\\eta']=(1.257,)  | resids[ 20]=1.49e-08 cf=0.410
ndofs=   1821303: ['\\eta']=(1.257,)  | resids[ 20]=1.49e-08 cf=0.410
ndofs=   1821303: ['\\eta']=(1.274,)  | resids[ 20]=1.80e-08 cf=0.412
ndofs=   1821303: ['\\eta']=(1.274,)  | resids[ 20]=1.80e-08 cf=0.412
ndofs=   1821303: ['\\eta']=(1.291,)  | resids[ 20]=2.13e-08 cf=0.413
ndofs=   1821303: ['\\eta']=(1.291,)  | resids[ 20]=2.13e-08 cf=0.413
ndofs=   1821303: ['\\eta']=(1.309,)  | resids[ 21]=1.30e-08 cf=0.423
ndofs=   1821303: ['\\eta']=(1.309,)  | resids[ 21]=1.30e-08 cf=0.423
ndofs=   1821303: ['\\eta']=(1.326,)  | resids[ 21]=1.68e-08 cf=0.431
ndofs=   1821303: ['\\eta']=(1.326,)  | resids[ 21]=1.68e-08 cf=0.431
ndofs=   1821303: ['\\eta']=(1.343,)  | resids[ 22]=1.03e-08 cf=0.450
ndofs=   1821303: ['\\eta']=(1.343,)  | resids[ 22]=1.03e-08 cf=0.450
ndofs=   1821303: ['\\eta']=(1.361,)  | resids[ 22]=1.28e-08 cf=0.451
ndofs=   1821303: ['\\eta']=(1.361,)  | resids[ 22]=1.28e-08 cf=0.451
ndofs=   1821303: ['\\eta']=(1.378,)  | resids[ 22]=1.56e-08 cf=0.454
ndofs=   1821303: ['\\eta']=(1.378,)  | resids[ 22]=1.56e-08 cf=0.454
ndofs=   1821303: ['\\eta']=(1.396,)  | resids[ 22]=2.00e-08 cf=0.462
ndofs=   1821303: ['\\eta']=(1.396,)  | resids[ 22]=2.00e-08 cf=0.462
ndofs=   1821303: ['\\eta']=(1.413,)  | resids[ 23]=1.15e-08 cf=0.481
ndofs=   1821303: ['\\eta']=(1.413,)  | resids[ 23]=1.15e-08 cf=0.481
ndofs=   1821303: ['\\eta']=(1.43,)   | resids[ 23]=1.44e-08 cf=0.487
ndofs=   1821303: ['\\eta']=(1.43,)   | resids[ 23]=1.44e-08 cf=0.487
ndofs=   1821303: ['\\eta']=(1.448,)  | resids[ 23]=1.80e-08 cf=0.493
ndofs=   1821303: ['\\eta']=(1.448,)  | resids[ 23]=1.80e-08 cf=0.493
ndofs=   1821303: ['\\eta']=(1.465,)  | resids[ 24]=1.15e-08 cf=0.506
ndofs=   1821303: ['\\eta']=(1.465,)  | resids[ 24]=1.15e-08 cf=0.506
ndofs=   1821303: ['\\eta']=(1.483,)  | resids[ 24]=1.44e-08 cf=0.509
ndofs=   1821303: ['\\eta']=(1.483,)  | resids[ 24]=1.44e-08 cf=0.509
ndofs=   1821303: ['\\eta']=(1.5,)    | resids[ 24]=1.80e-08 cf=0.515
ndofs=   1821303: ['\\eta']=(1.5,)    | resids[ 24]=1.80e-08 cf=0.515
